8Orr_cUGnXYEbWi4TIMru29Cr14lGUaStU4OJsHpcBGR19yiw2xeWuQOd1_-J2nXwUjzrYHrPYfECQ,54,143619
8Orr_cUGnXYEbWi4TIMru29Cr14lGUaStU4OJsHpcBGR19yiw2xeWuQOd1_-J2nXwUjzrYHrPYfECQ,32,130937
LdYrIZ6G97E4p07-pjtxvOm9F02HEKTu4iO_CXm2xRUhHZs4JKz02cV-95M2GAEyzlZRn86MVRlU6Q,33,35925
LdYrIZ6G97E4p07-pjtxvOm9F02HEKTu4iO_CXm2xRUhHZs4JKz02cV-95M2GAEyzlZRn86MVRlU6Q,36,22496
LdYrIZ6G97E4p07-pjtxvOm9F02HEKTu4iO_CXm2xRUhHZs4JKz02cV-95M2GAEyzlZRn86MVRlU6Q,86,10040
LdYrIZ6G97E4p07-pjtxvOm9F02HEKTu4iO_CXm2xRUhHZs4JKz02cV-95M2GAEyzlZRn86MVRlU6Q,17,8308
LdYrIZ6G97E4p07-pjtxvOm9F02HEKTu4iO_CXm2xRUhHZs4JKz02cV-95M2GAEyzlZRn86MVRlU6Q,27,3438
hQm31jL3bAKWhuW2qavjcT__obrC6sWidwNS8n-oZuRPnIava0TOr14dWq0YHgsInnNm3E_y2M17hQ,236,248490
hQm31jL3bAKWhuW2qavjcT__obrC6sWidwNS8n-oZuRPnIava0TOr14dWq0YHgsInnNm3E_y2M17hQ,61,183339
hQm31jL3bAKWhuW2qavjcT__obrC6sWidwNS8n-oZuRPnIava0TOr14dWq0YHgsInnNm3E_y2M17hQ,64,177615
hQm31jL3bAKWhuW2qavjcT__obrC6sWidwNS8n-oZuRPnIava0TOr14dWq0YHgsInnNm3E_y2M17hQ,134,144054
hQm31jL3bAKWhuW2qavjcT__obrC6sWidwNS8n-oZuRPnIava0TOr14dWq0YHgsInnNm3E_y2M17hQ,157,123282
jEVLgv3o5hJgUOCzvhNS3QEESwqUCQYqoYedqvzJw7lEn04eZnEP8AHTRnvvOHtwm5HWTG9b0EGX4w,41,59576
jEVLgv3o5hJgUOCzvhNS3QEESwqUCQYqoYedqvzJw7lEn04eZnEP8AHTRnvvOHtwm5HWTG9b0EGX4w,25,37397
jEVLgv3o5hJgUOCzvhNS3QEESwqUCQYqoYedqvzJw7lEn04eZnEP8AHTRnvvOHtwm5HWTG9b0EGX4w,35,33217
jEVLgv3o5hJgUOCzvhNS3QEESwqUCQYqoYedqvzJw7lEn04eZnEP8AHTRnvvOHtwm5HWTG9b0EGX4w,17,32777
jEVLgv3o5hJgUOCzvhNS3QEESwqUCQYqoYedqvzJw7lEn04eZnEP8AHTRnvvOHtwm5HWTG9b0EGX4w,90,32725
7NHRGDcnxWNLj8MCTtoYMDk_SAZqEJmn8PD3jS-0tRTzibciapMP1N0qoh3bGIVgPbq9KAj56mh1ww,233,47883
7NHRGDcnxWNLj8MCTtoYMDk_SAZqEJmn8PD3jS-0tRTzibciapMP1N0qoh3bGIVgPbq9KAj56mh1ww,120,40517
7NHRGDcnxWNLj8MCTtoYMDk_SAZqEJmn8PD3jS-0tRTzibciapMP1N0qoh3bGIVgPbq9KAj56mh1ww,141,20686
7NHRGDcnxWNLj8MCTtoYMDk_SAZqEJmn8PD3jS-0tRTzibciapMP1N0qoh3bGIVgPbq9KAj56mh1ww,876,19982
